nutrient_id,nutrient_url,nutrient_name,nutrient_abbreviation,nutrient_name_systematic,nutrient_name_common,nutrient_size,nutrient_type,nutrient_type_id,nutrient_subtype,nutrient_sub_subtype,nutrient_description,nutrient_essential
potassium,potassium,potassium,K,,,micronutrient,mineral,mineral,,,,major
selenium,selenium,selenium,Se,,,micronutrient,mineral,mineral,,,,trace
sodium,sodium,sodium,Na,,,micronutrient,mineral,mineral,,,,major
zinc,zinc,zinc,Zn,,,micronutrient,mineral,mineral,,,,trace
caffeine,caffeine,caffeine,,,,,other,other,,,,
theobromine,theobromine,theobromine,,,,,other,other,,,,
beta_sitosterol,beta-sitosterol,beta sitosterol,,,,,sterol,sterol,,,,
campesterol,campesterol,campesterol,,,,,sterol,sterol,,,,
cholesterol,cholesterol,cholesterol,,,,,sterol,sterol,,,,
phytosterol,phytosterol,phytosterol,,,,,sterol,sterol,,,,
stigmasterol,stigmasterol,stigmasterol,,,,,sterol,sterol,,,,
alpha_carotene,vitamin-a-alpha-carotene,vitamin a (alpha carotene),,,,,vitamin,vitamin,,,,
alpha_tocopherol,vitamin-e-alpha-tocopherol,vitamin e (alpha tocopherol),,,,,vitamin,vitamin,,,,
alpha_tocotrienol,vitamin-e-alpha-tocotrienol,vitamin e (alpha tocotrienol),,,,,vitamin,vitamin,,,,
ascorbic_acid,vitamin-c-ascorbic-acid,vitamin c (ascorbic acid),,,,,vitamin,vitamin,,,,
beta_carotene,vitamin-a-beta-carotene,vitamin a (beta carotene),,,,,vitamin,vitamin,,,,
beta_cryptoxanthin,vitamin-a-beta-cryptoxanthin,vitamin a (beta cryptoxanthin),,,,,vitamin,vitamin,,,,
beta_tocopherol,vitamin-e-beta-tocopherol,vitamin e (beta tocopherol),,,,,vitamin,vitamin,,,,
beta_tocotrienol,vitamin-e-beta-tocotrienol,vitamin e (beta tocotrienol),,,,,vitamin,vitamin,,,,
cholecalciferol,vitamin-d3-cholecalciferol,vitamin d3 (cholecalciferol),,,,,vitamin,vitamin,,,,
choline,vitamin-b4-choline,vitamin b4 (choline),,,,,vitamin,vitamin,,,,
cyanocobalamin,vitamin-b12-cyanocobalamin,vitamin b12 (cyanocobalamin),,,vitamin b12,micronutrient,vitamin,vitamin,,,,
delta_tocopherol,vitamin-e-delta-tocopherol,vitamin e (delta tocopherol),,,,,vitamin,vitamin,,,,
delta_tocotrienol,vitamin-e-delta-tocotrienol,vitamin e (delta tocotrienol),,,,,vitamin,vitamin,,,,
dihydrophylloquinone,vitamin-k-hydrogenated-dihydrophylloquinone,vitamin k hydrogenated (dihydrophylloquinone),,,,,vitamin,vitamin,,,,
ergocalciferol,vitamin-d2-ergocalciferol,vitamin d2 (ergocalciferol),,,,,vitamin,vitamin,,,,
folate,vitamin-b9-folate,vitamin b9 (folate),,,,,vitamin,vitamin,,,,
folic_acid,vitamin-b9-folic-acid,vitamin b9 (folic acid),,,,,vitamin,vitamin,,,,
gamma_tocopherol,vitamin-e-gamma-tocopherol,vitamin e (gamma tocopherol),,,,,vitamin,vitamin,,,,
gamma_tocotrienol,vitamin-e-gamma-tocotrienol,vitamin e (gamma tocotrienol),,,,,vitamin,vitamin,,,,
lutein_and_zeaxanthin,lutein-and-zeaxanthin,lutein and zeaxanthin,,,,,vitamin,vitamin,,,,
lycopene,lycopene,lycopene,,,,,vitamin,vitamin,,,,
menaquinone_4,vitamin-k2-menaquinone-4,vitamin k2 (menaquinone-4),,,,,vitamin,vitamin,,,,
phylloquinone,vitamin-k1-phylloquinone,vitamin k1 (phylloquinone),,,,,vitamin,vitamin,,,,
retinol,vitamin-a-retinol,vitamin a (retinol),,,,,vitamin,vitamin,,,,
riboflavin,vitamin-b2-riboflavin,vitamin b2 (riboflavin),,,vitamin b2,,vitamin,vitamin,,,,
thiamin,vitamin-b1-thiamin,vitamin b1 (thiamin),,,vitamin b1,,vitamin,vitamin,,,,
vitamin_a,vitamin-a-all-vitamers,vitamin a (all vitamers),,,,,vitamin,vitamin,,,,
niacin,vitamin-b3-niacin,vitamin b3 (niacin),,,niacin,,vitamin,vitamin,,,,
vitamin_b5,vitamin-b5-pantothenic-acid,vitamin b5 (pantothenic acid),,,pantothenic_acid,,vitamin,vitamin,,,,
vitamin_b6,vitamin-b6-all-vitamers,vitamin b6 (all vitamers),,,"pyridoxine, pyridoxal, pyridoxamine",,vitamin,vitamin,,,,
vitamin_d,vitamin-d-all-vitamers,vitamin d (all vitamers),,,,micronutrient,vitamin,vitamin,,,,
water,water,water,,,,,general,general,,,,
